"Time","D","W"
1604,50,25
1006,50,25
802,50,100
599,50,100
1482,350,25
1214,350,25
1052,350,100
923,350,100
1262,100,25
1043,100,25
785,100,100
728,100,100
2017,50,25
761,50,25
703,50,100
690,50,100
1181,350,25
1408,350,25
1134,350,100
1029,350,100
1013,100,25
1079,100,25
737,100,100
671,100,100
6946,50,25
994,50,25
787,50,100
648,50,100
1311,350,25
1343,350,25
979,350,100
1054,350,100
1118,100,25
1652,100,25
808,100,100
778,100,100
1005,50,25
1005,50,25
1214,50,25
940,50,25
1121,50,25
1065,50,25
803,50,25
893,50,25
937,50,25
1087,50,25
916,50,25
811,50,25
874,350,25
875,100,100
940,100,25
1491,100,25
2414,100,100
1308,50,25
769,100,100
1022,350,25
1078,350,100
1026,100,100
867,100,25
1815,350,25
1021,350,25
971,50,100
923,50,25
850,50,100
874,100,100
906,50,25
980,100,25
1100,350,100
2250,50,25
1135,50,100
1239,50,25
842,100,100
680,50,100
1118,350,25
866,50,100
786,50,100
695,100,100
850,100,100
1036,50,25
1078,100,25
1157,350,25
1197,350,25
775,100,100
1051,50,25
